authorID,Name,
100,Mark P. O. Morford,
101,Richard Bruce Wright,
102,Carlo D'Este,
103,Gina Bari Kolata,
104,E. J. W. Barber,
105,Amy Tan,
106,Robert Cowley,
107,Scott Turow,
108,David Cordingly,
109,Ann Beattie,
110,David Adams Richards,
111,Adam Lebor,
112,Sheila Heti,
113,R. J. Kaiser,
114,Jack Canfield,
115,Loren D. Estleman,
116,Robert Hendrickson,
117,Julia Oliver,
118,John Grisham,
119,Toni Morrison,
120,The Onion,
121,Celia Brooks Brown,
122,J. R. Parrish,
123, Ashley ,
124,Robynn Clairday,
125,Kathleen Duey,
126,Rich Shapero,
127,Michael Crichton,
128,MICHAEL CRICHTON,
129,C.S. Lewis,
130,ARTHUR PHILLIPS,
131,Stephan Jaramillo,
132,Mordecai Richler,
133,Eleanor Cooney,
134,Charlotte Link,
135,Richard North Patterson,
136,Mark Salzman,
137,Harper Lee,
138,LAURA HILLENBRAND,
139,Barbara Kingsolver,
140,Jo Dereske,
141,Jane Austen,
142,Dolores Krieger,
143,Anne Rivers Siddons,
144,Dean R. Koontz,
145,Mary Higgins Clark,
146,Dean Koontz,
147,Patricia Cornwell,
148,J.D. Robb,
149,Maeve Binchy,
150,Laura J. Mixon,
151,Tim Lahaye,
152,JOHN GRISHAM,
153,M.D. Bernie S. Siegel,
154,Robert Penn Warren,
155,Hans Johannes Hoefer,
156,Mark Helprin,
157,O. Carol Simonton Md,
158,Chuck Hill,
159,David Iglehart,
160,Larry McMurtry,
161,SUZANNE FISHER STAPLES,
162,Michel Tournier,
163,Carl Sagan,
164,Aleksandr Zinoviev,
165,Anne Tyler,
166,Joseph Conrad,
167,Deepak Chopra,
168,Thomas Hardy,
169,Charles Noland,
170,Valerie Frankel,
171,Benjamin Hoff,
172,Niccolo Machiavelli,
173,H. Jackson Brown,
174,Robert A. Heinlein,
175,PHILIP PULLMAN,
176,Anna Sewell,
177,MICHAEL ONDAATJE,
178,Sandra Levy Ceren,
179,P.J. O'Rourke,
180,Mike Gayle,
181,Stel Pavlou,
182,Sarah Payne Stuart,
183,Dan Quayle,
184,Donald F. Kettl,
185,DAVID FRUM,
186,Louis Lamour,
187,J.D. Salinger,
188,J. R. R. Tolkien,
189,John Berendt,
190,Jennifer Crusie,
191,Jane Heller,
192,Michael Rips,
193,Simon Mawer,
194,William Abrahams,
195,Robert T. Kiyosaki,
196,Ken Follett,
197,John F. Love,
198,Robert G. Allen,
199,LOUIS DE BERNIERES,
200,Pam Proctor,
201,Mitch Albom,
202,Irene Gonzalez Frei,
203,Michael Jan Friedman,
204,Glendon Swarthout,
205,Neal Barrett Jr.,
206,David Morrell,
207,Sandra Brown,
208,James Patterson,
209,Stuart Woods,
210,IRIS JOHANSEN,
211," Demons""",
212,Joe Hutsko,
213,Anita Shreve,
214,Ann Rule,
215,LEWIS GRIZZARD,
216,Paul Theroux,
217,Lewis Grizzard,
218,Charles Hickey,
219,Stephen King,
220,Ben Mezrich,
221,Bill Hand,
222,Tom Clancy,
223,DANA REEVE,
224,Roy,
225,Barbara Metzger,
226,Gabriel Garcia Marquez,
227,Rebecca Wells,
228,Tony Hillerman,
229,Robert James Waller,
230,Rachel Harris,
231,IAN MCEWAN,
232,Michael Lewis,
233,Richard Zimler,
234,Norman Jetmundsen,
235,Lorenzo Carcaterra,
236,Anne Frasier,
237,Kay Hooper,
238,Soren Kierkegaard,
239,Jose Ortega Y Gaset,
240,Daphne Du Maurier,
241,Nathaniel Hawthorne,
242,Nick Page,
243,Laura Wolf,
244,LOIS DUNCAN,
245,Susan Grant,
246,Barbara Vine,
247,Shirley Rousseau Murphy,
248,Jane Lindskold,
249,Betty Smith,
250,Cybill Shepherd,
251,Stewart O'Nan,
252,David Baldacci,
253,Douglas Adams,
254,Mary Lawson,
255,Willa Cather,
256,Olivia Goldsmith,
257,Helen Fielding,
258,Franklin W. Dixon,
259,Lilian Jackson Braun,
260,Holly Virden,
261,H. Norman Wright,
262,Piers Anthony,
263,RAY BRADBURY,
264,Schiller,
265,Ray Bradbury,
266,Raymond Chandler,
267,Paolo Coelho,
268,Fay Weldon,
269,Arabella Weir,
270,Kiana Davenport,
271,Sue Townsend,
272,Renan Demirkan,
